sample_id,degree,train_error,test_error,train_r2,test_r2,error_difference
14,3,13249.393993845326,2363420.2654090337,0.9940802574985749,0.20649506087075653,-2350170.8714151885
14,4,9519.564498368234,1893160.5864591082,0.9957467209004257,0.3643820788427875,-1883641.02196074
14,5,5730.205077794981,101926.88477711743,0.9974397818831063,0.9657786269820691,-96196.67969932246
14,6,5428.355314994623,1419850.7691183782,0.9975746463811147,0.5232931634666766,-1414422.4138033835
14,7,4181.260599069614,83669888.31793253,0.9981318401362852,-27.091690085081503,-83665707.05733345
14,8,3887.9275381543694,605442625.4719795,0.9982628994276445,-202.27392495648525,-605438737.5444413
14,9,3727.7612657695254,21905577444.28071,0.9983344606696433,-7353.6732889279765,-21905573716.519444
14,10,3727.734096673687,19219595721.84406,0.9983344728086174,-6451.870171488986,-19219591994.109962
15,1,442364.87681457837,1998955.2866277758,0.8286618915515795,0.3288621087612048,-1556590.4098131973
15,2,116175.5602274435,900557.0882653112,0.9550025289515713,0.6976430692563684,-784381.5280378677
15,3,15857.066022641317,2762350.849898958,0.9938581929979945,0.0725563814934409,-2746493.7838763166
15,4,4818.884470553928,7923603.431557668,0.9981335350221255,-1.6603048770736835,-7918784.547087114
15,5,4525.3173683774585,1766658.9404594689,0.9982472403243,0.40685428845266847,-1762133.6230910914
15,6,4292.796732791197,42819608.98516571,0.9983373009235127,-13.376440668892831,-42815316.18843292
15,7,3316.384401746435,4249891580.86357,0.9987154879149204,-1425.8769755155631,-4249888264.4791684
15,8,3181.073624563842,1806935547.9094393,0.9987678968963524,-605.6683538850835,-1806932366.8358147
15,9,3126.838247031983,246800949596.20737,0.9987889035076011,-82861.0179629731,-246800946469.3691
15,10,3075.728652401983,9381177493936.445,0.9988086994311167,-3149676.095198447,-9381177490860.717
16,1,3466955.6837616586,1879857.0627628607,0.1438669047026765,0.3688486614118289,1587098.620998798
16,2,1004421.8236583376,932062.2599000926,0.7519671887066695,0.687065386706123,72359.56375824497
16,3,710900.5198379039,1050092.2493874612,0.8244495984335917,0.6474374876843676,-339191.7295495573
16,4,50872.49284484143,1245986.668980496,0.9874375017342335,0.5816670482200064,-1195114.1761356546
16,5,7640.544718303259,10998.224599824212,0.9981132371463308,0.9963074085175017,-3357.679881520953
16,6,7150.258886056351,176252.04505612704,0.9982343087623045,0.9408243762945555,-169101.7861700707
16,7,6955.1827740558265,308887.8028520578,0.9982824810295093,0.8962926734668292,-301932.620078002
16,8,6844.228893534912,18543308.112539902,0.9983098800786552,-5.225810445333223,-18536463.88364637
16,9,6745.338396648457,632923334.7309419,0.9983343001852032,-211.50041710725282,-632916589.3925452
16,10,6477.406512927869,66570658666.57626,0.9984004635209542,-22349.720786373997,-66570652189.169754
17,1,28107.79886443419,1756503.3350015115,0.9646318000170095,0.4102639753410655,-1728395.5361370773
17,2,22713.39503148184,2119310.477267896,0.9714196084282288,0.2884535366504599,-2096597.082236414
17,3,11546.848471483549,2448371.317600298,0.9854705362066088,0.177973227287203,-2436824.4691288145
17,4,7244.814089497125,7135546.864021066,0.9908838100488493,-1.3957193576018394,-7128302.049931568
17,5,6856.970282869978,458904.8514941646,0.9913718360725557,0.8459253008952389,-452047.8812112946
17,6,6326.207038817324,426313412.82886696,0.9920396984210027,-142.13230856476733,-426307086.62182814
17,7,5773.063003108032,8225611689.622441,0.992735722644341,-2760.702435493426,-8225605916.559438
17,8,5628.581732626399,90382404953.86934,0.9929175242323215,-30344.379444760933,-90382399325.28761
